Category,Full Name,Pokepaste,EVs,Tournament / Event,Rank,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
In Person Event,Eduardo Cunha,https://pokepast.es/74518474548d33ed,No,Lille Regional 2025,5th,Samurott-Hisui,Sneasler,Magmar,Gholdengo,Ninetales-Alola,Dragonite
In Person Event,Fabian Kuhl,https://pokepast.es/c2c402a9a2ec40ee,No,Lille Regional 2025,6th,Basculegion,Pelipper,Rillaboom,Electabuzz,Kingambit,Archaludon
In Person Event,Mark Cotter,https://pokepast.es/9bfb1aa98e4dcd2f,No,Lille Regional 2025,7th,Torkoal,Exeggutor,Gallade,Ursaluna,Indeedee-F,Hatterene
In Person Event,Max Waterman,https://pokepast.es/3ff8628c927ddbd7,No,Lille Regional 2025,8th,Incineroar,Basculegion,Pelipper,Amoonguss,Gholdengo,Archaludon
In Person Event,Marco Silva,https://pokepast.es/d87fab50ce7874f2,No,Lille Regional 2025,9th,Incineroar,Basculegion,Pelipper,Amoonguss,Gholdengo,Archaludon
In Person Event,Frederik Høj Nielsen,https://pokepast.es/e61ab94564901acd,No,Lille Regional 2025,10th,Arcanine-Hisui,Talonflame,Amoonguss,Sneasler,Ursaluna-Bloodmoon,Indeedee
In Person Event,Juan Manuel Odriozola,https://pokepast.es/b387139bb6169549,No,Lille Regional 2025,11th,Incineroar,Primarina,Ursaluna,Vivillon,Porygon2,Archaludon
In Person Event,Luca Marcato,https://pokepast.es/dc8b1aeed373ecde,No,Lille Regional 2025,12th,Torkoal,Typhlosion-Hisui,Jumpluff,Kingambit,Dragonite,Garchomp
In Person Event,Roberto Retico,https://pokepast.es/b759ee4683ada6ac,No,Lille Regional 2025,13th,Dondozo,Pelipper,Tatsugiri,Sneasler,Indeedee,Archaludon
In Person Event,Giovanni Piscitelli,https://pokepast.es/e1f80f08b61e9d95,Yes,Lille Regional 2025,14th,Volcarona,Rillaboom,Electabuzz,Sneasler,Kingambit,Dragonite
In Person Event,Mattia Cognetta,https://pokepast.es/22871d4d1d3c9416,No,Lille Regional 2025,15th,Primarina,Rillaboom,Sneasler,Magmar,Kingambit,Dragapult
In Person Event,Jonathan Marston,https://pokepast.es/cfc9e94a21ce9b41,No,Lille Regional 2025,16th,Volcarona,Dondozo,Rillaboom,Electabuzz,Sneasler,Dragapult
In Person Event,Alexander Ubaghs,https://pokepast.es/7fe9f9ed996fff74,No,Lille Regional 2025,17th,Primarina,Rillaboom,Sneasler,Magmar,Kingambit,Dragapult
In Person Event,Aurélien Soula,https://pokepast.es/b46c6644d66c01ee,No,Lille Regional 2025,18th,Volcarona,Annihilape,Ursaluna-Bloodmoon,Gholdengo,Grimmsnarl,Dragonite
In Person Event,Rayan Guezi,https://pokepast.es/641a1f5c97b4ae03,No,Lille Regional 2025,19th,Talonflame,Primarina,Amoonguss,Tyranitar,Gholdengo,Garchomp
In Person Event,Marius Wels,https://pokepast.es/e57e7723d598b704,No,Lille Regional 2025,20th,Basculegion,Pelipper,Amoonguss,Sneasler,Indeedee,Archaludon
In Person Event,Pearl,https://pokepast.es/131b428ed3e50a35,Yes,Lille Regional 2025,35th,Annihilape,Clefable,Whimsicott,Gholdengo,Garchomp,Hydreigon
In Person Event,Alex Soto,https://pokepast.es/7ae5a698e68c5fd7,Yes,Lille Regional 2025,51th,Torkoal,Exeggutor,Gallade,Ursaluna,Zoroark-Hisui,Indeedee-F
In Person Event,Pau Bragulat,https://pokepast.es/82bc4ff1dd2183bc,Yes,Lille Regional 2025,72nd,Talonflame,Primarina,Rillaboom,Ursaluna-Bloodmoon,Gothitelle,Gholdengo
In Person Event,Vikram T.,https://pokepast.es/9b36a88be7235a9a,Yes,Lille Regional 2025,1st,Sneasler,Magmar,Corviknight,Kingambit,Ninetales-Alola,Garchomp
In Person Event,Jong Dae-Jung,https://pokepast.es/003c9f244885b8f8,Yes,Thailand Premier Ball League 2025,1st,Talonflame,Annihilape,Vivillon,Gholdengo,Ninetales-Alola,Garchomp
In Person Event,Noppasorn Tangkasem,https://pokepast.es/14d84ea31db7dfd7,No,Thailand Premier Ball League 2025,2nd,Annihilape,Clefable,Whimsicott,Gholdengo,Garchomp,Hydreigon
In Person Event,Aphikrit Thanathanindecha,https://pokepast.es/211717d6389a543b,No,Thailand Premier Ball League 2025,3rd,Incineroar,Amoonguss,Flamigo,Ursaluna,Porygon2,Gholdengo
In Person Event,Narawitch Naenna,https://pokepast.es/d4db0fc2338f8a23,No,Thailand Premier Ball League 2025,4th,Talonflame,Annihilape,Vivillon,Gholdengo,Ninetales-Alola,Garchomp
In Person Event,Krittapas Augchariyajinda,https://pokepast.es/5767345b512d9dd6,No,Thailand Premier Ball League 2025,5th,Primarina,Rillaboom,Electabuzz,Sneasler,Zoroark-Hisui,Kingambit
In Person Event,Worrachate Bosri,https://pokepast.es/cb6d8057747c6b5f,No,Thailand Premier Ball League 2025,6th,Primarina,Rillaboom,Sneasler,Magmar,Kingambit,Dragapult
In Person Event,Ekkarin Kirirat,https://pokepast.es/c1124b606357b00c,No,Thailand Premier Ball League 2025,7th,Armarouge,Torkoal,Annihilape,Zoroark-Hisui,Indeedee-F,Farigiraf
In Person Event,Nawapol Kumsup,https://pokepast.es/311f416b83437272,No,Thailand Premier Ball League 2025,8th,Incineroar,Amoonguss,Annihilape,Ninetales-Alola,Dragonite,Garchomp
In Person Event,Andrew Zheng,https://pokepast.es/ffc235167549784a,Yes,Louisville Regional 2025,1st,Incineroar,Amoonguss,Sneasler,Porygon2,Gholdengo,Garchomp
In Person Event,Joseph Ugarte,https://pokepast.es/4d7c66c2fd361b85,No,Louisville Regional 2025,2nd,Torkoal,Typhlosion-Hisui,Jumpluff,Kingambit,Dragonite,Garchomp
In Person Event,Riley Factura,https://pokepast.es/80d0eeb378d0ad39,No,Louisville Regional 2025,3rd,Basculegion,Pelipper,Amoonguss,Sneasler,Kingambit,Archaludon
In Person Event,Parker Simmons,https://pokepast.es/14b6895759786d5a,Yes,Louisville Regional 2025,4th,Torkoal,Exeggutor,Gallade,Ursaluna,Zoroark-Hisui,Indeedee-F
In Person Event,Marco Martinez,https://pokepast.es/f962b3efe4d3e153,Yes,Louisville Regional 2025,5th,Ceruledge,Gastrodon,Rillaboom,Sneasler,Kingambit,Dragonite
In Person Event,Collin Heier,https://pokepast.es/5d0fa4a41bd79379,Yes,Louisville Regional 2025,6th,Volcarona,Dondozo,Rillaboom,Electabuzz,Sneasler,Dragapult
In Person Event,Cary D'Ortona,https://pokepast.es/75be071de934562d,Yes,Louisville Regional 2025,7th,Volcarona,Tauros-Paldea-Aqua,Rillaboom,Electabuzz,Kingambit,Dragapult
In Person Event,Wolfe Glick,https://pokepast.es/133d5808e25d3bbc,No,Louisville Regional 2025,8th,Incineroar,Sneasler,Ursaluna,Yanmega,Porygon2,Archaludon
In Person Event,Carson Confer,https://pokepast.es/f0bd39de6170a617,No,Louisville Regional 2025,9th,Dondozo,Tatsugiri,Annihilape,Sneasler,Indeedee,Dragonite
In Person Event,Alberto Lara,https://pokepast.es/c23e0d7d30f3209a,No,Louisville Regional 2025,10th,Volcarona,Sneasler,Corviknight,Ninetales-Alola,Dragonite,Garchomp
In Person Event,Andrew Nowak,https://pokepast.es/8edd41434bff95be,No,Louisville Regional 2025,11th,Sneasler,Magmar,Kingambit,Metagross,Ninetales-Alola,Garchomp
In Person Event,Norah Bowman,https://pokepast.es/70ceb0e91b2c5474,Yes,Louisville Regional 2025,12th,Rillaboom,Sneasler,Ursaluna-Bloodmoon,Gholdengo,Mimikyu,Garchomp
In Person Event,Joshua R.,https://pokepast.es/1d36cd45c7bfa7f4,No,Louisville Regional 2025,13th,Basculegion,Rillaboom,Electabuzz,Kingambit,Ninetales-Alola,Kommo-o
In Person Event,Zachary Mnich,https://pokepast.es/789e746b923c3434,No,Louisville Regional 2025,14th,Incineroar,Flamigo,Ursaluna-Bloodmoon,Clefable,Farigiraf,Gholdengo
In Person Event,Louis Milich,https://pokepast.es/cc04d79e5fb96d1c,Yes,Louisville Regional 2025,15th,Volcarona,Rillaboom,Sneasler,Kingambit,Ninetales-Alola,Kommo-o
In Person Event,Junxi Zhu,https://pokepast.es/9e98e1c3eefe79c8,No,Louisville Regional 2025,16th,Incineroar,Palafin,Amoonguss,Tyranitar,Porygon2,Gholdengo
In Person Event,Joey Woodring,https://pokepast.es/d8b9218f938d0b1b,No,Louisville Regional 2025,17th,Incineroar,Pelipper,Amoonguss,Ursaluna,Porygon2,Archaludon
In Person Event,Giovanni Araníbar,https://pokepast.es/c07d3f7d65c2a594,No,Louisville Regional 2025,18th,Incineroar,Palafin,Amoonguss,Kingambit,Ninetales-Alola,Garchomp
In Person Event,Luke Bowar,https://pokepast.es/f024048962289e22,No,Louisville Regional 2025,19th,Charizard,Torkoal,Gallade,Ursaluna,Indeedee-F,Hatterene
In Person Event,Anthony Londergan,https://pokepast.es/621cc78ed9d9a63b,No,Louisville Regional 2025,20th,Incineroar,Amoonguss,Annihilape,Ursaluna,Porygon2,Gholdengo
In Person Event,David Mancuso,https://pokepast.es/f7602864ebf5c60e,No,Louisville Regional 2025,21th,Primarina,Rillaboom,Sneasler,Magmar,Kingambit,Dragapult
In Person Event,Brian Fournier,https://pokepast.es/97c7e03e93027e01,Yes,Louisville Regional 2025,22th,Blaziken,Empoleon,Rillaboom,Ursaluna,Porygon2,Dragapult
In Person Event,Zhang Zhe,https://pokepast.es/8f2ee66add83c76c,Yes,Louisville Regional 2025,23th,Incineroar,Amoonguss,Kingambit,Ninetales-Alola,Dragonite,Garchomp
In Person Event,Karan Mehta,https://pokepast.es/04d62b4ef1a5b8f4,No,Louisville Regional 2025,24th,Rillaboom,Glimmora,Kingambit,Grimmsnarl,Dragapult,Kommo-o
In Person Event,Yotam Cohen,https://pokepast.es/087311997e100efc,No,Louisville Regional 2025,25th,Incineroar,Sneasler,Ursaluna,Yanmega,Porygon2,Archaludon
In Person Event,Jackson Manning,https://pokepast.es/e0df162713d0ebea,No,Louisville Regional 2025,26th,Talonflame,Basculegion,Toedscruel,Pawmot,Weezing-Galar,Kommo-o
In Person Event,Stefan Mott,https://pokepast.es/0470b31e0152bc5f,No,Louisville Regional 2025,30th,Pelipper,Annihilape,Maushold-Family-of-Four,Sinistcha,Klefki,Archaludon
In Person Event,Austin Le,https://pokepast.es/cb5e5495981dbe4f,Yes,Louisville Regional 2025,40th,Basculegion,Pelipper,Amoonguss,Gholdengo,Ninetales-Alola,Archaludon
In Person Event,Kent Wong,https://pokepast.es/aea00005c8976f6d,Yes,Louisville Regional 2025,48th,Arcanine-Hisui,Primarina,Sneasler,Ursaluna-Bloodmoon,Indeedee,Whimsicott
In Person Event,Mikal Mahoney,https://pokepast.es/14c647d60eeb1b93,Yes,Louisville Regional 2025,67th,Dondozo,Annihilape,Glimmora,Kingambit,Archaludon,Dragonite
In Person Event,Zachary Spencer,https://pokepast.es/105000a31aacfd83,Yes,Louisville Regional 2025,70th,Volcarona,Sneasler,Drifblim,Indeedee,Dragapult,Hydreigon
In Person Event,Jianzheng Huang,https://pokepast.es/604b8b2dbf4e3564,Yes,Louisville Regional 2025,72th,Primarina,Rillaboom,Electabuzz,Sneasler,Kingambit,Dragonite
In Person Event,Jimmy Friedle,https://pokepast.es/2dd00bc5705be843,Yes,Louisville Regional 2025,74th,Primarina,Sneasler,Vivillon,Porygon2,Gholdengo,Garchomp
In Person Event,Ryan Loseto,https://pokepast.es/04d140ba26944498,Yes,Louisville Regional 2025,76th,Amoonguss,Sneasler,Kingambit,Ninetales-Alola,Dragonite,Garchomp
In Person Event,Everett Filloon,https://pokepast.es/fd7ee0f278c32400,Yes,Louisville Regional 2025,82th,Incineroar,Amoonguss,Vivillon,Porygon2,Ninetales-Alola,Garchomp
In Person Event,Esa I.,https://pokepast.es/b04da3ef1d1579fb,Yes,Louisville Regional 2025,2nd,Primarina,Rillaboom,Sneasler,Magmar,Kingambit,Dragapult
In Person Event,Sebastian Rodríguez,https://pokepast.es/dfeb23b3756009cb,Yes,Lima Special 2025,1st,Incineroar,Flamigo,Ursaluna-Bloodmoon,Clefable,Farigiraf,Gholdengo
In Person Event,Juan Silva,https://pokepast.es/697bdbafba3291b3,Yes,Lima Special 2025,19th,Armarouge,Torkoal,Gallade,Ursaluna,Indeedee-F,Hatterene
In Person Event,Davide Miraglia,https://pokepast.es/78a560e9c3ee8f54,No,Dortmund Regional 2025,1st,Annihilape,Clefable,Whimsicott,Gholdengo,Garchomp,Hydreigon
In Person Event,Mattie Morgan,https://pokepast.es/d47502ce7372550a,No,Dortmund Regional 2025,2nd,Incineroar,Amoonguss,Sneasler,Porygon2,Gholdengo,Garchomp
In Person Event,Nicolò Berardo,https://pokepast.es/dcdb0b0d652693c9,No,Dortmund Regional 2025,3rd,Primarina,Rillaboom,Electabuzz,Sneasler,Kingambit,Dragapult
In Person Event,Alessandro Marchionne,https://pokepast.es/58d0d6bf1f63367f,No,Dortmund Regional 2025,4th,Incineroar,Amoonguss,Flamigo,Ursaluna,Porygon2,Gholdengo
In Person Event,Fevzi Özkan,https://pokepast.es/9bc213feec05d6a5,No,Dortmund Regional 2025,5th,Pelipper,Annihilape,Maushold-Family-of-Four,Sinistcha,Grimmsnarl,Archaludon
In Person Event,Jack Clarke,https://pokepast.es/164d2d9a8678cff9,Yes,Dortmund Regional 2025,6th,Volcarona,Toxtricity,Drifblim,Indeedee,Hydreigon,Kommo-o
In Person Event,Ibrahim Maarouf,https://pokepast.es/60a68d5ee9046e79,No,Dortmund Regional 2025,7th,Primarina,Rillaboom,Sneasler,Magmar,Kingambit,Dragapult
In Person Event,Nico Davide Cognetta,https://pokepast.es/09375286f3dd1cf6,Yes,Dortmund Regional 2025,8th,Primarina,Rillaboom,Sneasler,Magmar,Kingambit,Salamence
In Person Event,Joan Garcia,https://pokepast.es/629990857124fa59,No,Dortmund Regional 2025,9th,Dondozo,Rillaboom,Sneasler,Magmar,Kingambit,Dragapult
In Person Event,Michael Kelsch,https://pokepast.es/af0c783bb40f094d,Yes,Dortmund Regional 2025,10th,Primarina,Rillaboom,Sneasler,Magmar,Kingambit,Dragapult
In Person Event,Rafael Sadowski,https://pokepast.es/1f77754fa0c53a1c,No,Dortmund Regional 2025,11th,Rillaboom,Sneasler,Vivillon,Kingambit,Archaludon,Dragapult
In Person Event,Koen van Cann,https://pokepast.es/41d643c0b6f6d9af,No,Dortmund Regional 2025,12th,Basculegion,Rillaboom,Electabuzz,Kingambit,Ninetales-Alola,Kommo-o
In Person Event,Lukas Kiefl,https://pokepast.es/b2461e67c109153f,No,Dortmund Regional 2025,13th,Incineroar,Basculegion,Amoonguss,Flamigo,Ursaluna-Bloodmoon,Farigiraf
In Person Event,Davide Carrer,https://pokepast.es/d46b512c3dfcdb87,No,Dortmund Regional 2025,14th,Incineroar,Primarina,Vivillon,Porygon2,Gholdengo,Garchomp
In Person Event,Rahim Farzan,https://pokepast.es/4affe5cf8ce5787d,No,Dortmund Regional 2025,15th,Primarina,Rillaboom,Sneasler,Magmar,Kingambit,Dragapult
In Person Event,Hippolyte Bernard,https://pokepast.es/575d5ac6220c2c42,No,Dortmund Regional 2025,16th,Incineroar,Amoonguss,Flamigo,Ursaluna,Porygon2,Gholdengo
In Person Event,Jannik Koch,https://pokepast.es/e8fffb3a35a3540b,No,Dortmund Regional 2025,17th,Incineroar,Amoonguss,Kingambit,Ninetales-Alola,Dragonite,Garchomp
In Person Event,Rhys Johnson,https://pokepast.es/043dfb5f59721a52,No,Dortmund Regional 2025,18th,Primarina,Rillaboom,Electabuzz,Sneasler,Kingambit,Dragapult
In Person Event,Giulio Tarlao,https://pokepast.es/78d11a3c21092830,No,Dortmund Regional 2025,19th,Incineroar,Annihilape,Maushold-Family-of-Four,Whimsicott,Gholdengo,Dragonite
In Person Event,Víctor Medina,https://pokepast.es/24a6720dc1383195,No,Dortmund Regional 2025,20th,Incineroar,Amoonguss,Kingambit,Ninetales-Alola,Dragonite,Garchomp
In Person Event,Hjalmar Lind,https://pokepast.es/388282dbab8536a1,No,Dortmund Regional 2025,21th,Delphox,Basculegion,Sneasler,Indeedee,Maushold-Family-of-Four,Whimsicott
In Person Event,Sergio Ramirez,https://pokepast.es/1c25ec0aed06bbb7,No,Dortmund Regional 2025,22th,Incineroar,Gastrodon,Vivillon,Porygon2,Gholdengo,Garchomp
In Person Event,Joan Poyato Barberá,https://pokepast.es/3b0c92ec123ef61a,No,Dortmund Regional 2025,23th,Primarina,Rillaboom,Electabuzz,Sneasler,Kingambit,Dragonite
In Person Event,Fabian Kuhl,https://pokepast.es/8189cde800198bfd,No,Dortmund Regional 2025,41st,Basculegion,Pelipper,Rillaboom,Electabuzz,Kingambit,Archaludon
In Person Event,Gabriel Agati,https://pokepast.es/4f5faa449a887518,Yes,Joinville Regional 2025,1st,Incineroar,Amoonguss,Kingambit,Ninetales-Alola,Dragonite,Garchomp
In Person Event,Sebastián Escalante,https://pokepast.es/2884d240bc51add5,No,Joinville Regional 2025,2nd,Incineroar,Amoonguss,Kingambit,Ninetales-Alola,Dragonite,Garchomp
In Person Event,Juan Salerno,https://pokepast.es/687c5a13eccb5876,No,Joinville Regional 2025,3rd,Volcarona,Gastrodon,Sneasler,Maushold-Family-of-Four,Kingambit,Baxcalibur
In Person Event,Luiz Lima,https://pokepast.es/8f6c7757348b3c09,No,Joinville Regional 2025,4th,Incineroar,Primarina,Vivillon,Porygon2,Gholdengo,Garchomp
In Person Event,João Gonçalves,https://pokepast.es/45cdb19f373c53f4,No,Joinville Regional 2025,5th,Basculegion,Pelipper,Amoonguss,Annihilape,Maushold-Family-of-Four,Archaludon
In Person Event,Victor Vieira,https://pokepast.es/88588bf6ea14718c,No,Joinville Regional 2025,6th,Primarina,Vivillon,Porygon2,Gholdengo,Kingambit,Garchomp
In Person Event,Daniel Vieira,https://pokepast.es/40184f38d9fe67db,No,Joinville Regional 2025,7th,Talonflame,Rillaboom,Annihilape,Maushold-Family-of-Four,Gholdengo,Ninetales-Alola
In Person Event,Fábio Silva Júnior,https://pokepast.es/b040c061728c22f5,No,Joinville Regional 2025,8th,Talonflame,Dondozo,Tatsugiri,Glimmora,Gholdengo,Dragonite
In Person Event,Vinicius Moscão Junqueira,https://pokepast.es/c83335b65836ff93,No,Joinville Regional 2025,9th,Annihilape,Sneasler,Indeedee,Murkrow,Sinistcha,Gholdengo
In Person Event,Rogério Catel,https://pokepast.es/6a1709e7ae8e7d35,No,Joinville Regional 2025,10th,Incineroar,Amoonguss,Kingambit,Ninetales-Alola,Dragonite,Garchomp
In Person Event,Javier Nain,https://pokepast.es/1e4a9156670115e5,No,Joinville Regional 2025,11th,Incineroar,Amoonguss,Rillaboom,Ursaluna,Porygon2,Gholdengo
In Person Event,Leonardo Ritter,https://pokepast.es/fe75a4d2a6207ed5,No,Joinville Regional 2025,12th,Talonflame,Dondozo,Tatsugiri-Droopy,Glimmora,Gholdengo,Archaludon
In Person Event,Vinicius Carvalho,https://pokepast.es/29561d701c924406,No,Joinville Regional 2025,13th,Incineroar,Amoonguss,Kingambit,Ninetales-Alola,Dragonite,Garchomp
In Person Event,Italo Massuco,https://pokepast.es/f0ca46900fe621f5,No,Joinville Regional 2025,14th,Decidueye-Hisui,Tyranitar,Indeedee-F,Gholdengo,Dragapult,Hydreigon
In Person Event,Guilherme Queiroz,https://pokepast.es/3b2429b1f3426310,No,Joinville Regional 2025,15th,Incineroar,Basculegion,Pelipper,Amoonguss,Maushold-Family-of-Four,Archaludon
In Person Event,Carlos Júnior,https://pokepast.es/166e09d1fdf0c81c,No,Joinville Regional 2025,16th,Incineroar,Primarina,Vivillon,Porygon2,Gholdengo,Garchomp
In Person Event,Luciano Begot,https://pokepast.es/c5f6217f2063e109,No,Joinville Regional 2025,17th,Pelipper,Poliwrath,Amoonguss,Kingambit,Archaludon,Garchomp
In Person Event,Nicholas Morales,https://pokepast.es/9f1ee0cf2832c7b5,Yes,Baltimore Regional 2025,1st,Incineroar,Basculegion,Pelipper,Amoonguss,Maushold-Family-of-Four,Archaludon
In Person Event,Paul Chua,https://pokepast.es/258f7d817a596d83,No,Baltimore Regional 2025,2nd,Incineroar,Amoonguss,Kingambit,Ninetales-Alola,Dragonite,Garchomp
In Person Event,Si Dawei,https://pokepast.es/64897a9db9f67ce4,Yes,Baltimore Regional 2025,3rd,Volcarona,Annihilape,Ursaluna,Porygon2,Gholdengo,Grimmsnarl
In Person Event,Toler Webb,https://pokepast.es/e574cdc3161cac05,Yes,Baltimore Regional 2025,4th,Incineroar,Amoonguss,Flamigo,Ursaluna,Porygon2,Gholdengo
In Person Event,Christopher H.,https://pokepast.es/9562959d1ba377e3,No,Baltimore Regional 2025,5th,Incineroar,Amoonguss,Flamigo,Ursaluna,Porygon2,Gholdengo
In Person Event,Zee Costagliola,https://pokepast.es/baf29cfeb4362ef8,No,Baltimore Regional 2025,6th,Incineroar,Primarina,Vivillon,Porygon2,Gholdengo,Garchomp
In Person Event,Junxi Zhu,https://pokepast.es/488001030528e81a,Yes,Baltimore Regional 2025,7th,Incineroar,Amoonguss,Tyranitar,Ursaluna,Porygon2,Gholdengo
In Person Event,Lorenzo Arce,https://pokepast.es/b40de1414314ef4e,No,Baltimore Regional 2025,8th,Dondozo,Tatsugiri,Annihilape,Clefable,Kingambit,Dragonite
In Person Event,Wolfe Glick,https://pokepast.es/e8b54ef9b4f097e2,No,Baltimore Regional 2025,9th,Typhlosion-Hisui,Toedscruel,Pawmot,Weezing-Galar,Corviknight,Garchomp
In Person Event,Justin Tang,https://pokepast.es/a9f3357d7a3a6e81,Yes,Baltimore Regional 2025,41th,Primarina,Rillaboom,Electabuzz,Sneasler,Kingambit,Salamence
In Person Event,Justin Tang,https://pokepast.es/a9f3357d7a3a6e81,Yes,Baltimore Regional 2025,10th,Primarina,Rillaboom,Electabuzz,Sneasler,Kingambit,Salamence
In Person Event,Ethan Mattos,https://pokepast.es/15d4f0fd761a8412,Yes,Baltimore Regional 2025,11th,Pelipper,Annihilape,Maushold-Family-of-Four,Sinistcha,Grimmsnarl,Archaludon
In Person Event,Riley Factura,https://pokepast.es/9b61420321b3d5a8,No,Baltimore Regional 2025,12th,Incineroar,Primarina,Rillaboom,Annihilape,Whimsicott,Gholdengo
In Person Event,Aaron Wegter,https://pokepast.es/077d655607d43135,No,Baltimore Regional 2025,13th,Incineroar,Tauros-Paldea-Aqua,Rillaboom,Glimmora,Whimsicott,Farigiraf
In Person Event,Alex Imbufe,https://pokepast.es/cfe94a28a29cef6d,Yes,Baltimore Regional 2025,14th,Typhlosion-Hisui,Primarina,Indeedee-F,Volbeat,Espathra,Archaludon
In Person Event,Dylan Simmons,https://pokepast.es/af88866009ad2382,No,Baltimore Regional 2025,15th,Incineroar,Amoonguss,Sneasler,Ursaluna,Porygon2,Gholdengo
In Person Event,Kyle Livinghouse,https://pokepast.es/adb5ea83457e388c,No,Baltimore Regional 2025,16th,Volcarona,Rillaboom,Glimmora,Sneasler,Kingambit,Dragapult
In Person Event,Eric Bush,https://pokepast.es/614bfd0a43d9dfca,No,Baltimore Regional 2025,17th,Basculegion,Pelipper,Amoonguss,Kingambit,Archaludon,Salamence
In Person Event,Ben Grissmer,https://pokepast.es/ab56b67f83b99d34,No,Baltimore Regional 2025,18th,Delphox,Basculegion,Sneasler,Indeedee,Maushold-Family-of-Four,Whimsicott
In Person Event,Nick Navarre,https://pokepast.es/5abeb85555244951,No,Baltimore Regional 2025,19th,Talonflame,Typhlosion-Hisui,Breloom,Kingambit,Garchomp,Hydreigon
In Person Event,Cayden Owens,https://pokepast.es/5dd69c7025fe62d5,No,Baltimore Regional 2025,20th,Volcarona,Tauros-Paldea-Aqua,Rillaboom,Clefable,Gholdengo,Kingambit
In Person Event,Jenkins,https://pokepast.es/d318defb3ce9f1d6,Yes,Baltimore Regional 2025,21th,Arcanine-Hisui,Sneasler,Ursaluna-Bloodmoon,Whimsicott,Kingambit,Dragonite
In Person Event,Will Inabinet,https://pokepast.es/776f31d19597cd79,Yes,Baltimore Regional 2025,36th,Talonflame,Primarina,Rillaboom,Annihilape,Maushold-Family-of-Four,Gholdengo
In Person Event,Brian Fournier,https://pokepast.es/d5159a30da65f18d,No,Baltimore Regional 2025,53th,Blaziken,Empoleon,Rillaboom,Ursaluna-Bloodmoon,Farigiraf,Dragapult
In Person Event,Ryan Loseto,https://pokepast.es/0613f0ff80dad1c5,Yes,Baltimore Regional 2025,64th,Blaziken,Primarina,Rillaboom,Electabuzz,Kingambit,Dragapult
In Person Event,Destyn Edwards,https://pokepast.es/2d4ae9951e878013,Yes,Baltimore Regional 2025,69th,Torkoal,Lilligant-Hisui,Gallade,Ursaluna,Indeedee-F,Hatterene
In Person Event,Arbin Tumaneng,https://pokepast.es/d7ad225b8fc24519,Yes,Baltimore Regional 2025,81th,Delphox,Torkoal,Lilligant-Hisui,Gallade,Ursaluna,Indeedee-F
Local Tour,Diego Gutierrez,https://pokepast.es/179c287995d6f090,Yes,Peru League Cup,2nd,Incineroar,Volcarona,Basculegion,Rillaboom,Ursaluna-Bloodmoon,Ninetales-Alola
Local Tour,Joseph Cartin,https://pokepast.es/3f3754bf97bc3b32,No,Local Tour,1st,Vivillon,Incineroar,Clawitzer,Rillaboom,Annihilape,Kingambit
Local Tour,kim0227poke,https://pokepast.es/9444ccef3a4cb400,No,Tera Square Singular Off,1st,Incineroar,Annihilape,Ursaluna-Bloodmoon,Porygon2,Ninetales-Alola,Dragonite
Local Tour,Decopon,https://pokepast.es/ad538fe4271321be,Yes,Tera Square Singular Off,2nd,Volcarona,Dondozo,Tatsugiri-Stretchy,Rillaboom,Annihilape,Dragonite
Local Tour,Shintaro Amemiya,https://pokepast.es/89c66f68f2b984ef,Yes,Tera Square Singular Off,Top 4,Rillaboom,Annihilape,Ursaluna-Bloodmoon,Gholdengo,Ninetales-Alola,Dragonite
Local Tour,Peter Chen,https://pokepast.es/46e4d7d9cca5bcf4,Yes,Local Tour,-,Volcarona,Samurott-Hisui,Gliscor,Sneasler,Whimsicott,Corviknight
Local Tour,Rion,https://pokepast.es/0fd4c1dc2f62e040,Yes,Tohoku Pokemon Off #30,Top 4,Dondozo,Pelipper,Rillaboom,Sneasler,Archaludon,Dragonite
Local Tour,M. Khoa Nguyen,https://pokepast.es/9b66276605ff699e,Yes,Sky Pillar Offline VGC Showdown,Top 4,Tauros-Paldea-Blaze,Kilowattrel,Indeedee-F,Gholdengo,Gardevoir,Garchomp
Local Tour,abanbabanba,https://pokepast.es/cfb54fab3d68a562,Yes,Umi Off,1st,Dondozo,Rillaboom,Sneasler,Magmar,Kingambit,Baxcalibur
Local Tour,Manuel Barea,https://pokepast.es/dd139e9bfb096272,Yes,Local Tour,1st,Primarina,Meowscarada,Magmar,Gholdengo,Perrserker,Dragonite
Local Tour,gamer0317,https://pokepast.es/01fd6e68657d19e5,Yes,Teru Offline Team Challenge #2,Top 4,Talonflame,Dondozo,Tatsugiri,Pawmot,Gholdengo,Dragonite
Local Tour,yes_no_poke,https://pokepast.es/086ed8334dcafdad,Yes,Tera Square #46,2nd,Annihilape,Maushold-Family-of-Four,Sinistcha,Klefki,Ninetales-Alola,Archaludon
Local Tour,Joan Garcia,https://pokepast.es/f00cfaf7b5166feb,Yes,Local Tour,1st,Volcarona,Dondozo,Rillaboom,Sneasler,Kingambit,Baxcalibur
Local Tour,Kai Yazawa,https://pokepast.es/f9b392df96c29f64,Yes,Shirone Off,1st,Salazzle,Meowscarada,Ursaluna-Bloodmoon,Ninetales-Alola,Dragonite,Kommo-o
Local Tour,DaniVGC,https://pokepast.es/4afe3c26cf005970,Yes,Local Tour,2nd,Incineroar,Kingdra,Pelipper,Amoonguss,Gliscor,Gholdengo
